,Фамилия##other##,Да/Нет##number##general
,,0.000000
Шишляева,Шишляева,1.000000
Шараева,Шараева,2.000000
Сидорова,Сидорова,3.000000
Минеев,Минеев,4.000000
Извекова,Извекова,5.000000
Мальцева,Мальцева,6.000000
Захаров,Захаров,7.000000
Толстогузова,Толстогузова,8.000000
Сергеева,Сергеева,9.000000
Вершинина,Вершинина,10.000000
Вшивков,Вшивков,11.000000
Чубикова,Чубикова,12.000000
Стахеев,Стахеев,13.000000
Кочнев,Кочнев,14.000000
Заренкова,Заренкова,15.000000
Емельяненко,Емельяненко,16.000000
Ложкина,Ложкина,17.000000
Смитченко,Смитченко,18.000000
Алексеева,Алексеева,19.000000
Батыршина,Батыршина,20.000000
Ефимова,Ефимова,21.000000
Катаева,Катаева,22.000000
Мирсалихова,Мирсалихова,23.000000
Михайлова,Михайлова,24.000000
Растопчина,Растопчина,25.000000
Роговский,Роговский,26.000000
Ростовщикова,Ростовщикова,27.000000
Саляхова,Саляхова,28.000000
Февралева,Февралева,29.000000
Храмцов,Храмцов,30.000000
Цидвинцев,Цидвинцев,31.000000
Шкребтанова,Шкребтанова,32.000000
Хасанов,Хасанов,33.000000
Подоляк,Подоляк,34.000000
Зайцев,Зайцев,35.000000
Суходолов,Суходолов,36.000000
Подоляк И.В.,Подоляк И.В.,37.000000
Мальцева М.П.,Мальцева М.П.,38.000000
Сергеева О.И.,Сергеева О.И.,39.000000
Шестов,Шестов,40.000000
Ларионова,Ларионова,98.000000
Шипулин,Шипулин,108.000000
Соломенников,Соломенников,111.000000
