;Формат и кратность##OTHER##;Типоразмер##OTHER##;Ширина##length##millimeters;Высота##length##millimeters
;;;;
;;;;
А0-Книжный;А0-Книжный;А0;841;1198
А1-Книжный;А1-Книжный;А1;594;841
А2-Книжный;А2-Книжный;А2;420;594
А3-Книжный;А3-Книжный;А3;297;420
А4-Книжный;А4-Книжный;А4;210;297
А0х2-Книжный;А0х2-Книжный;А0х2;1189;1682
А0х3-Книжный;А0х3-Книжный;А0х3;1189;2523
А1х3-Книжный;А1х3-Книжный;А1х3;841;1783
А1х4-Книжный;А1х4-Книжный;А1х4;841;2378
А2х3-Книжный;А2х3-Книжный;А2х3;594;1261
А2х4-Книжный;А2х4-Книжный;А2х4;594;1682
А2х5-Книжный;А2х5-Книжный;А2х5;594;2102
А3х3-Книжный;А3х3-Книжный;А3х3;420;891
А3х4-Книжный;А3х4-Книжный;А3х4;420;1189
А3х5-Книжный;А3х5-Книжный;А3х5;420;1486
А3х6-Книжный;А3х6-Книжный;А3х6;420;1783
А3х7-Книжный;А3х7-Книжный;А3х7;420;2080
А4х3-Книжный;А4х3-Книжный;А4х3;297;630
А4х4-Книжный;А4х4-Книжный;А4х4;297;841
А4х5-Книжный;А4х5-Книжный;А4х5;297;1051
А4х6-Книжный;А4х6-Книжный;А4х6;297;1261
А4х7-Книжный;А4х7-Книжный;А4х7;297;1471
А4х8-Книжный;А4х8-Книжный;А4х8;297;1682
А4х9-Книжный;А4х9-Книжный;А4х9;297;1982
А0-Альбомный;А0-Альбомный;А0;1198;841
А1-Альбомный;А1-Альбомный;А1;841;594
А2-Альбомный;А2-Альбомный;А2;594;420
А3-Альбомный;А3-Альбомный;А3;420;297
А4-Альбомный;А4-Альбомный;А4;297;210
А0х2-Альбомный;А0х2-Альбомный;А0х2;1682;1189
А0х3-Альбомный;А0х3-Альбомный;А0х3;2523;1189
А1х3-Альбомный;А1х3-Альбомный;А1х3;1783;841
А1х4-Альбомный;А1х4-Альбомный;А1х4;2378;841
А2х3-Альбомный;А2х3-Альбомный;А2х3;1261;594
А2х4-Альбомный;А2х4-Альбомный;А2х4;1682;594
А2х5-Альбомный;А2х5-Альбомный;А2х5;2102;594
А3х3-Альбомный;А3х3-Альбомный;А3х3;891;420
А3х4-Альбомный;А3х4-Альбомный;А3х4;1189;420
А3х5-Альбомный;А3х5-Альбомный;А3х5;1486;420
А3х6-Альбомный;А3х6-Альбомный;А3х6;1783;420
А3х7-Альбомный;А3х7-Альбомный;А3х7;2080;420
А4х3-Альбомный;А4х3-Альбомный;А4х3;630;297
А4х4-Альбомный;А4х4-Альбомный;А4х4;841;297
А4х5-Альбомный;А4х5-Альбомный;А4х5;1051;297
А4х6-Альбомный;А4х6-Альбомный;А4х6;1261;297
А4х7-Альбомный;А4х7-Альбомный;А4х7;1471;297
А4х8-Альбомный;А4х8-Альбомный;А4х8;1682;297
А4х9-Альбомный;А4х9-Альбомный;А4х9;1982;297
